level,rules
7, 12
7, 13
7, 14
7, 15
7, 16
7, 17
7, 18
7, 19
7, 20
7, 21
7, 22
7, 23
7, 24
7, 25
7, 26
7, 27
7, 28
7, 29
7, 30
7, 31
7, 32
7, 33
7, 34
7, 35
7, 36
7, 37
7, 38
7, 39
7, 40
7, 41
7, 42
7, 43
7, 44
7, 45
7, 46
7, 47
7, 48
7, 49
7, 51
7, 52
7, 53
7, 54
7, 55
7, 56
7, 57
7, 60
7, 62
7, 63
7, 64
7, 65
7, 66
7, 67
7, 68
7, 69
7, 70
7, 72
7, 73
7, 74
7, 75
7, 76
7, 77
7, 78
7, 81
7, 83
7, 84
7, 85
7, 86
7, 87
7, 88
7, 89
7, 90
7, 91
7, 92
7, 93
7, 5
7, 6
7, 7
8, 2
8, 3
8, 4
8, 9
8, 10
8, 11
8, 12
8, 13
8, 14
8, 15
8, 16
8, 17
8, 18
8, 19
8, 20
8, 21
8, 22
8, 23
8, 24
8, 25
8, 26
8, 27
8, 28
8, 29
8, 30
8, 31
8, 32
8, 33
8, 34
8, 35
8, 36
8, 37
8, 38
8, 39
8, 40
8, 41
8, 42
8, 43
8, 44
8, 45
8, 46
8, 47
8, 48
8, 49
8, 50
8, 51
8, 52
8, 53
8, 54
8, 55
8, 56
8, 57
8, 58
8, 59
8, 60
8, 61
8, 62
8, 63
8, 64
8, 65
8, 66
8, 67
8, 68
8, 69
8, 70
8, 71
8, 72
8, 73
8, 74
8, 75
8, 76
8, 77
8, 78
8, 79
8, 80
8, 81
8, 82
8, 83
8, 84
8, 85
8, 86
8, 87
8, 88
8, 89
8, 90
8, 91
8, 92
8, 93
8, 5
8, 6
8, 7
9, 2
9, 3
9, 4
9, 9
9, 10
9, 11
9, 12
9, 13
9, 14
9, 15
9, 16
9, 17
9, 18
9, 20
9, 28
9, 30
9, 38
9, 46
9, 47
9, 48
9, 49
9, 50
9, 51
9, 52
9, 54
9, 55
9, 56
9, 57
9, 58
9, 60
9, 62
9, 63
9, 64
9, 65
9, 66
9, 68
9, 69
9, 70
9, 71
9, 72
9, 73
9, 75
9, 76
9, 77
9, 78
9, 79
9, 81
9, 83
9, 84
9, 85
9, 86
9, 87
9, 91
9, 5
9, 6
10, 2
10, 3
10, 4
10, 9
10, 10
10, 11
10, 12
10, 13
10, 14
10, 15
10, 16
10, 17
10, 18
10, 28
10, 29
10, 30
10, 31
10, 32
10, 33
10, 34
10, 35
10, 36
10, 37
10, 38
10, 39
10, 40
10, 41
10, 42
10, 43
10, 48
10, 55
10, 57
10, 60
10, 63
10, 66
10, 69
10, 76
10, 78
10, 81
10, 84
10, 87
10, 91
10, 5
10, 6
10, 8
11, 0
11, 1
11, 2
11, 3
11, 4
11, 9
11, 19
11, 29
11, 30
11, 31
11, 32
11, 33
11, 34
11, 35
11, 36
11, 37
11, 38
11, 39
11, 40
11, 41
11, 42
11, 43
11, 44
11, 45
11, 46
11, 49
11, 64
11, 67
11, 70
11, 85
11, 88
11, 89
11, 90
11, 91
11, 92
11, 93
11, 5

